,year_month,Date,Open,High,Low,Close,Volume,granularity
0,1976-03,1976-03-31,102.01,103.08,101.6,102.77,9733333,month_end
1,1976-04,1976-04-30,102.13,102.65,101.16,101.64,8072222,month_end
2,1976-05,1976-05-28,99.38,100.64,99.0,100.18,9366667,month_end
3,1976-06,1976-06-30,103.86,105.07,103.52,104.28,13238889,month_end
4,1976-07,1976-07-30,102.93,103.88,102.47,103.44,8238889,month_end
5,1976-08,1976-08-31,102.07,103.38,101.94,102.91,8600000,month_end
6,1976-09,1976-09-30,105.37,105.84,104.57,105.24,8166667,month_end
7,1976-10,1976-10-29,101.61,103.1,101.15,102.9,9461111,month_end
8,1976-11,1976-11-30,102.44,102.72,101.46,102.1,9461111,month_end
9,1976-12,1976-12-31,106.88,107.82,106.55,107.46,10650000,month_end
10,1977-01,1977-01-31,101.93,102.44,100.91,102.03,12733333,month_end
11,1977-02,1977-02-28,99.48,100.06,98.91,99.82,9011111,month_end
12,1977-03,1977-03-31,98.54,99.14,97.8,98.42,9172222,month_end
13,1977-04,1977-04-29,98.2,98.87,97.58,98.44,10183333,month_end
14,1977-05,1977-05-31,96.27,96.75,95.52,96.12,9888889,month_end
15,1977-06,1977-06-30,100.11,100.88,99.68,100.48,10783333,month_end
16,1977-07,1977-07-29,98.79,99.21,97.71,98.85,11305556,month_end
17,1977-08,1977-08-31,96.38,97.0,95.59,96.77,10600000,month_end
18,1977-09,1977-09-30,95.85,96.85,95.66,96.53,11761111,month_end
19,1977-10,1977-10-31,92.61,93.03,91.85,92.34,9483333,month_end
20,1977-11,1977-11-30,94.55,95.17,93.78,94.83,12594444,month_end
21,1977-12,1977-12-30,94.94,95.67,94.44,95.1,13088889,month_end
22,1978-01,1978-01-31,89.34,89.92,88.61,89.25,11038889,month_end
23,1978-02,1978-02-28,87.72,87.76,86.58,87.04,10972222,month_end
24,1978-03,1978-03-31,89.41,89.64,88.68,89.21,11183333,month_end
25,1978-04,1978-04-28,95.86,97.1,95.24,96.83,18250000,month_end
26,1978-05,1978-05-31,96.86,97.97,96.5,97.24,16150000,month_end
27,1978-06,1978-06-30,95.57,95.96,94.87,95.53,10055556,month_end
28,1978-07,1978-07-31,100.0,101.18,99.37,100.68,18883333,month_end
29,1978-08,1978-08-31,103.5,104.05,102.63,103.29,18805556,month_end
30,1978-09,1978-09-29,101.96,103.08,101.65,102.54,13116667,month_end
31,1978-10,1978-10-31,95.06,95.8,92.72,93.15,23733333,month_end
32,1978-11,1978-11-30,93.75,94.94,93.29,94.7,11055556,month_end
33,1978-12,1978-12-29,96.28,97.03,95.48,96.11,16683333,month_end
34,1979-01,1979-01-31,101.05,101.41,99.47,99.93,16850000,month_end
35,1979-02,1979-02-28,96.13,96.69,95.38,96.28,13938889,month_end
36,1979-03,1979-03-30,102.03,102.51,101.03,101.59,16650000,month_end
37,1979-04,1979-04-30,101.8,102.24,100.91,101.76,14688889,month_end
38,1979-05,1979-05-31,99.11,99.61,98.29,99.08,16833333,month_end
39,1979-06,1979-06-29,102.8,103.67,102.04,102.91,19272222,month_end
40,1979-07,1979-07-31,103.15,104.26,102.89,103.81,19088889,month_end
41,1979-08,1979-08-31,109.02,109.8,108.58,109.32,14650000,month_end
42,1979-09,1979-09-28,110.21,110.67,108.7,109.32,19972222,month_end
